-1.899668399999999835e+01,-4.698593499999999779e+01,1.630000000000000071e+01
-2.237611109999999925e+01,-4.181194443999999777e+01,2.210000000000000142e+01
-2.265357900000000058e+01,-4.404091600000000284e+01,2.039999999999999858e+01
-1.668638887999999909e+01,-4.384388888000000151e+01,1.480000000000000071e+01
-2.385194444000000047e+01,-4.816472222000000158e+01,1.969999999999999929e+01
-2.171472221999999874e+01,-4.134388888000000151e+01,2.050000000000000000e+01
-2.017333332000000112e+01,-4.487499998999999917e+01,1.839999999999999858e+01
-2.211986700000000639e+01,-5.140863699999999881e+01,1.910000000000000142e+01
-2.264583332999999854e+01,-4.241555555000000055e+01,2.260000000000000142e+01
-2.322361109999999940e+01,-4.472694443000000319e+01,2.289999999999999858e+01
-2.058444443999999862e+01,-4.738249998999999946e+01,1.739999999999999858e+01
